number,name,url,double
1,Первый канал,udp://@239.1.1.1:1234
2,Россия 1,udp://@239.1.1.2:1234
3,Матч ТВ,udp://@239.1.1.3:1234
4,НТВ,udp://@239.1.2.1:1234
5,Пятый канал,udp://@239.1.135.1:1234
6,Россия К,udp://@239.1.135.2:1234
7,Россия 24,udp://@239.1.135.3:1234
8,Карусель,udp://@239.1.135.4:1234
9,ОТР,udp://@239.1.15.1:1234
10,ТВ Центр,udp://@239.1.15.2:1234
11,РЕН-ТВ,udp://@239.1.4.1:1234
12,СПАС,udp://@239.1.4.2:1234
13,СТС,udp://@239.1.135.5:1234
14,Домашний,udp://@239.1.135.6:1234
15,ТВ-3,udp://@239.1.4.3:1234
16,Пятница,udp://@239.1.135.7:1234
17,Звезда,udp://@239.1.2.2:1234
18,МИР,udp://@239.1.135.8:1234
19,ТНТ,udp://@239.1.2.3:1234
20,МУЗ,udp://@239.1.135.9:1234
21,Солнце,udp://@239.1.135.10:1234
22,RT (английский),udp://@239.1.135.11:1234
23,Bridge tv,udp://@239.4.144.23:1234
24,Big Planet,udp://@239.1.5.1:1234
25,Ru.TV,udp://@239.10.144.25:1234
26,Мульт,udp://@239.6.144.26:1234
27,Мама,udp://@239.10.144.27:1234
28,ТНТ Music,udp://@239.1.136.6:1234
29,Москва 24,udp://@239.1.5.2:1234
30,РБК-ТВ,udp://@239.1.136.7:1234
31,Европа Плюс ТВ,udp://@239.1.6.1:1234
32,2х2,udp://@239.1.136.8:1234
33,Мультимузыка,udp://@239.1.6.2:1234
34,Fashion TV,udp://@239.1.136.9:1234
35,Women's Magazine,udp://@239.1.7.1:1234
36,МИР 24,udp://@239.1.136.16:1234
37,Телеканал 360,udp://@239.1.6.3:1234
38,Мультиландия,udp://@239.1.7.2:1234
39,ТНТ 4,udp://@239.1.136.10:1234
40,Усадьба,udp://@239.1.7.3:1234
41,Terra,udp://@239.1.136.11:1234
42,Охота и рыбалка,udp://@239.1.137.13:1234
43,viju Nature,udp://@239.1.8.1:1234
44,Кинеко,udp://@239.1.137.1:1234
45,Ю,udp://@239.1.8.2:1234
46,Travel+Adventure,udp://@239.1.122.1:1234
47,Авто плюс,udp://@239.1.137.2:1234
48,Матч Футбол 1 HD,udp://@239.1.9.1:1234
49,Матч Футбол 2 HD,udp://@239.1.9.2:1234
50,Матч Футбол 3 HD,udp://@239.1.9.3:1234